Semana,Cliques,Impressões,CPC méd.,Custo
Semana de 17 de fev. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 24 de fev. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 3 de mar. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 10 de mar. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 17 de mar. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 24 de mar. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 31 de mar. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 7 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 14 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 21 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 28 de abr. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 5 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 12 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 19 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 26 de mai. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 2 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 9 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 16 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 23 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 30 de jun. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 7 de jul. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 14 de jul. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 21 de jul. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 28 de jul. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 4 de ago. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 11 de ago. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 18 de ago. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 25 de ago. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 1 de set. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 8 de set. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 15 de set. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 22 de set. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 29 de set. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 6 de out. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 13 de out. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 20 de out. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 27 de out. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 3 de nov. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 10 de nov. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 17 de nov. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 24 de nov. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 1 de dez. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 8 de dez. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 15 de dez. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 22 de dez. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 29 de dez. de 2025,0,0,"R$ 0,00","R$ 0,00"
Semana de 5 de jan. de 2026,0,0,"R$ 0,00","R$ 0,00"
Semana de 12 de jan. de 2026,0,0,"R$ 0,00","R$ 0,00"
Semana de 19 de jan. de 2026,12,244,"R$ 1,16","R$ 13,87"
Semana de 26 de jan. de 2026,122,2.266,"R$ 1,29","R$ 157,63"
